"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 03:07:46 MSK 2026","Fri Feb 20 03:07:56 MSK 2026","10262","","order.OrderListTest","","order.OrderListTest","getOrderListTest","getOrderListTest","Проверка получения списка заказов"
"passed","Fri Feb 20 03:06:40 MSK 2026","Fri Feb 20 03:06:40 MSK 2026","119","","courier.CourierCreateTest","","courier.CourierCreateTest","cannotCreateCourierWithoutPassword","cannotCreateCourierWithoutPassword","Нельзя создать курьера без пароля"
"passed","Fri Feb 20 03:06:42 MSK 2026","Fri Feb 20 03:06:43 MSK 2026","520","","courier.CourierLoginTest","","courier.CourierLoginTest","cannotLoginWithoutLogin","cannotLoginWithoutLogin","Ошибка если не передан логин"
"passed","Fri Feb 20 03:06:43 MSK 2026","Fri Feb 20 03:06:43 MSK 2026","603","","courier.CourierLoginTest","","courier.CourierLoginTest","courierCanLogin","courierCanLogin","Курьер может успешно авторизоваться"
"passed","Fri Feb 20 03:06:38 MSK 2026","Fri Feb 20 03:06:40 MSK 2026","2034","","courier.CourierCreateTest","","courier.CourierCreateTest","cannotCreateCourierWithoutLogin","cannotCreateCourierWithoutLogin","Нельзя создать курьера без логина"
"passed","Fri Feb 20 03:07:46 MSK 2026","Fri Feb 20 03:07:46 MSK 2026","170","","order.OrderCreateTest","","order.OrderCreateTest","createOrderWithParams[Тест с цветом: null]","createOrderWithParams[Тест с цветом: null]","Создание заказа с разными вариантами цветов"
"skipped","Fri Feb 20 03:06:44 MSK 2026","Fri Feb 20 03:07:44 MSK 2026","60552","","courier.CourierLoginTest","","courier.CourierLoginTest","cannotLoginWithoutPassword","cannotLoginWithoutPassword","Ошибка если не передан пароль"
"passed","Fri Feb 20 03:06:40 MSK 2026","Fri Feb 20 03:06:41 MSK 2026","1487","","courier.CourierCreateTest","","courier.CourierCreateTest","cannotCreateDuplicateCourier","cannotCreateDuplicateCourier","Проверка создания дубликата курьера (ошибка 409)"
"passed","Fri Feb 20 03:06:43 MSK 2026","Fri Feb 20 03:06:44 MSK 2026","504","","courier.CourierLoginTest","","courier.CourierLoginTest","cannotLoginWithWrongLogin","cannotLoginWithWrongLogin","Ошибка при неправильном логине"
"passed","Fri Feb 20 03:07:45 MSK 2026","Fri Feb 20 03:07:45 MSK 2026","154","","order.OrderCreateTest","","order.OrderCreateTest","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@69cf9acb]","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@69cf9acb]","Создание заказа с разными вариантами цветов"
"passed","Fri Feb 20 03:07:45 MSK 2026","Fri Feb 20 03:07:46 MSK 2026","140","","order.OrderCreateTest","","order.OrderCreateTest","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@56bc8c45]","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@56bc8c45]","Создание заказа с разными вариантами цветов"
"passed","Fri Feb 20 03:06:41 MSK 2026","Fri Feb 20 03:06:42 MSK 2026","474","","courier.CourierCreateTest","","courier.CourierCreateTest","courierCanBeCreated","courierCanBeCreated","Проверка успешного создания курьера"
"passed","Fri Feb 20 03:07:46 MSK 2026","Fri Feb 20 03:07:46 MSK 2026","167","","order.OrderCreateTest","","order.OrderCreateTest","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@2542d320]","createOrderWithParams[Тест с цветом: [Ljava.lang.String;@2542d320]","Создание заказа с разными вариантами цветов"
"passed","Fri Feb 20 03:07:44 MSK 2026","Fri Feb 20 03:07:45 MSK 2026","568","","courier.CourierLoginTest","","courier.CourierLoginTest","cannotLoginWithWrongPassword","cannotLoginWithWrongPassword","Ошибка при неправильном пароле"
"passed","Fri Feb 20 03:07:45 MSK 2026","Fri Feb 20 03:07:45 MSK 2026","547","","courier.CourierLoginTest","","courier.CourierLoginTest","cannotLoginWithNonExistingUser","cannotLoginWithNonExistingUser","Ошибка если пользователь не существует"
